from_matched_field	to_matched_field	n_male	n_female
ANTHROPOLOGY	ANTHROPOLOGY	14	28
ANTHROPOLOGY	ARCHAEOLOGY	100	93
ANTHROPOLOGY	ART HISTORY	16	50
ANTHROPOLOGY	ASTRONOMY	5	36
ANTHROPOLOGY	BIOCHEMISTRY	3	19
ANTHROPOLOGY	CHEMISTRY	0	6
ANTHROPOLOGY	CLASSICS	40	382
ANTHROPOLOGY	COMMUNIC	2	20
ANTHROPOLOGY	COMP LIT	182	139
ANTHROPOLOGY	COMP SCI	13	53
ANTHROPOLOGY	EARTH SCI	1	5
ANTHROPOLOGY	ECONOMICS	81	453
ANTHROPOLOGY	EDUCATION	67	145
ANTHROPOLOGY	ENGINEERING	58	130
ANTHROPOLOGY	ENGLISH LIT	2	9
ANTHROPOLOGY	EVOLUTION BIO	12	165
ANTHROPOLOGY	HISTORY	7	74
ANTHROPOLOGY	LINGUISTICS	30	95
ANTHROPOLOGY	MATH	0	3
ANTHROPOLOGY	MID EAST STUD	26	214
ANTHROPOLOGY	MOLEC BIO	17	216
ANTHROPOLOGY	MUS TH & COM	29	61
ANTHROPOLOGY	NEUROSCI	94	398
ANTHROPOLOGY	PHILOSOPHY	7	11
ANTHROPOLOGY	PHYSICS	110	331
ANTHROPOLOGY	POLITICAL SCI	231	437
ANTHROPOLOGY	PSYCHOLOGY	11	81
ANTHROPOLOGY	SOCIOLOLOGY	14	150
ANTHROPOLOGY	SPANISH LIT	6	163
ANTHROPOLOGY	STATISTICS	151	726
ARCHAEOLOGY	ANTHROPOLOGY	3	0
ARCHAEOLOGY	ARCHAEOLOGY	75	235
ARCHAEOLOGY	ART HISTORY	14	11
ARCHAEOLOGY	ASTRONOMY	9	16
ARCHAEOLOGY	BIOCHEMISTRY	160	92
ARCHAEOLOGY	CHEMISTRY	371	92
ARCHAEOLOGY	CLASSICS	133	83
ARCHAEOLOGY	COMMUNIC	87	108
ARCHAEOLOGY	COMP LIT	40	34
ARCHAEOLOGY	COMP SCI	22	41
ARCHAEOLOGY	EARTH SCI	73	163
ARCHAEOLOGY	ECONOMICS	66	99
ARCHAEOLOGY	EDUCATION	1	0
ARCHAEOLOGY	ENGINEERING	29	26
ARCHAEOLOGY	ENGLISH LIT	78	53
ARCHAEOLOGY	EVOLUTION BIO	591	131
ARCHAEOLOGY	HISTORY	26	142
ARCHAEOLOGY	LINGUISTICS	44	44
ARCHAEOLOGY	MATH	86	79
ARCHAEOLOGY	MID EAST STUD	651	273
ARCHAEOLOGY	MOLEC BIO	107	219
ARCHAEOLOGY	MUS TH & COM	92	38
ARCHAEOLOGY	NEUROSCI	0	1
ARCHAEOLOGY	PHILOSOPHY	5	1
ARCHAEOLOGY	PHYSICS	49	23
ARCHAEOLOGY	POLITICAL SCI	41	31
ARCHAEOLOGY	PSYCHOLOGY	60	46
ARCHAEOLOGY	SOCIOLOLOGY	2	5
ARCHAEOLOGY	SPANISH LIT	234	100
ARCHAEOLOGY	STATISTICS	2	2
ART HISTORY	ANTHROPOLOGY	45	94
ART HISTORY	ARCHAEOLOGY	3	6
ART HISTORY	ART HISTORY	16	111
ART HISTORY	ASTRONOMY	0	4
ART HISTORY	BIOCHEMISTRY	1	19
ART HISTORY	CHEMISTRY	1	3
ART HISTORY	CLASSICS	142	306
ART HISTORY	COMMUNIC	8	24
ART HISTORY	COMP LIT	103	403
ART HISTORY	COMP SCI	2	28
ART HISTORY	EARTH SCI	0	0
ART HISTORY	ECONOMICS	35	99
ART HISTORY	EDUCATION	7	73
ART HISTORY	ENGINEERING	33	58
ART HISTORY	ENGLISH LIT	14	205
ART HISTORY	EVOLUTION BIO	18	21
ART HISTORY	HISTORY	3	12
ART HISTORY	LINGUISTICS	24	54
ART HISTORY	MATH	7	13
ART HISTORY	MID EAST STUD	4	39
ART HISTORY	MOLEC BIO	27	281
ART HISTORY	MUS TH & COM	3	7
ART HISTORY	NEUROSCI	12	384
ART HISTORY	PHILOSOPHY	4	45
ART HISTORY	PHYSICS	6	42
ART HISTORY	POLITICAL SCI	1	54
ART HISTORY	PSYCHOLOGY	7	59
ART HISTORY	SOCIOLOLOGY	1	13
ART HISTORY	SPANISH LIT	4	15
ART HISTORY	STATISTICS	2	104
ASTRONOMY	ANTHROPOLOGY	59	362
ASTRONOMY	ARCHAEOLOGY	36	123
ASTRONOMY	ART HISTORY	28	127
ASTRONOMY	ASTRONOMY	10	64
ASTRONOMY	BIOCHEMISTRY	26	171
ASTRONOMY	CHEMISTRY	10	28
ASTRONOMY	CLASSICS	241	155
ASTRONOMY	COMMUNIC	33	30
ASTRONOMY	COMP LIT	0	0
ASTRONOMY	COMP SCI	4	5
ASTRONOMY	EARTH SCI	16	31
ASTRONOMY	ECONOMICS	1	6
ASTRONOMY	EDUCATION	88	1350
ASTRONOMY	ENGINEERING	6	27
ASTRONOMY	ENGLISH LIT	29	37
ASTRONOMY	EVOLUTION BIO	4	3
ASTRONOMY	HISTORY	18	30
ASTRONOMY	LINGUISTICS	355	295
ASTRONOMY	MATH	17	53
ASTRONOMY	MID EAST STUD	98	24
ASTRONOMY	MOLEC BIO	0	1
ASTRONOMY	MUS TH & COM	67	65
ASTRONOMY	NEUROSCI	198	33
ASTRONOMY	PHILOSOPHY	2	1
ASTRONOMY	PHYSICS	34	38
ASTRONOMY	POLITICAL SCI	35	86
ASTRONOMY	PSYCHOLOGY	312	213
ASTRONOMY	SOCIOLOLOGY	62	30
ASTRONOMY	SPANISH LIT	33	233
ASTRONOMY	STATISTICS	31	42
BIOCHEMISTRY	ANTHROPOLOGY	111	97
BIOCHEMISTRY	ARCHAEOLOGY	37	105
BIOCHEMISTRY	ART HISTORY	80	92
BIOCHEMISTRY	ASTRONOMY	137	50
BIOCHEMISTRY	BIOCHEMISTRY	22	75
BIOCHEMISTRY	CHEMISTRY	68	33
BIOCHEMISTRY	CLASSICS	68	50
BIOCHEMISTRY	COMMUNIC	26	43
BIOCHEMISTRY	COMP LIT	10	41
BIOCHEMISTRY	COMP SCI	8	15
BIOCHEMISTRY	EARTH SCI	79	45
BIOCHEMISTRY	ECONOMICS	20	44
BIOCHEMISTRY	EDUCATION	38	79
BIOCHEMISTRY	ENGINEERING	17	49
BIOCHEMISTRY	ENGLISH LIT	0	0
BIOCHEMISTRY	EVOLUTION BIO	122	45
BIOCHEMISTRY	HISTORY	5	46
BIOCHEMISTRY	LINGUISTICS	33	70
BIOCHEMISTRY	MATH	11	224
BIOCHEMISTRY	MID EAST STUD	5	23
BIOCHEMISTRY	MOLEC BIO	105	240
BIOCHEMISTRY	MUS TH & COM	0	4
BIOCHEMISTRY	NEUROSCI	30	154
BIOCHEMISTRY	PHILOSOPHY	103	122
BIOCHEMISTRY	PHYSICS	9	45
BIOCHEMISTRY	POLITICAL SCI	1	2
BIOCHEMISTRY	PSYCHOLOGY	322	224
BIOCHEMISTRY	SOCIOLOLOGY	44	4
BIOCHEMISTRY	SPANISH LIT	7	5
BIOCHEMISTRY	STATISTICS	4	5
CHEMISTRY	ANTHROPOLOGY	293	89
CHEMISTRY	ARCHAEOLOGY	135	25
CHEMISTRY	ART HISTORY	255	43
CHEMISTRY	ASTRONOMY	32	10
CHEMISTRY	BIOCHEMISTRY	202	33
CHEMISTRY	CHEMISTRY	53	22
CHEMISTRY	CLASSICS	151	12
CHEMISTRY	COMMUNIC	15	20
CHEMISTRY	COMP LIT	219	146
CHEMISTRY	COMP SCI	110	42
CHEMISTRY	EARTH SCI	114	24
CHEMISTRY	ECONOMICS	10	1
CHEMISTRY	EDUCATION	43	50
CHEMISTRY	ENGINEERING	61	84
CHEMISTRY	ENGLISH LIT	4	3
CHEMISTRY	EVOLUTION BIO	234	55
CHEMISTRY	HISTORY	50	6
CHEMISTRY	LINGUISTICS	16	1
CHEMISTRY	MATH	36	3
CHEMISTRY	MID EAST STUD	172	17
CHEMISTRY	MOLEC BIO	75	3
CHEMISTRY	MUS TH & COM	66	21
CHEMISTRY	NEUROSCI	43	1
CHEMISTRY	PHILOSOPHY	18	12
CHEMISTRY	PHYSICS	192	271
CHEMISTRY	POLITICAL SCI	7	10
CHEMISTRY	PSYCHOLOGY	80	15
CHEMISTRY	SOCIOLOLOGY	108	18
CHEMISTRY	SPANISH LIT	2	0
CHEMISTRY	STATISTICS	3	13
CLASSICS	ANTHROPOLOGY	0	276
CLASSICS	ARCHAEOLOGY	59	253
CLASSICS	ART HISTORY	21	289
CLASSICS	ASTRONOMY	36	5
CLASSICS	BIOCHEMISTRY	73	167
CLASSICS	CHEMISTRY	8	26
CLASSICS	CLASSICS	5	96
CLASSICS	COMMUNIC	24	145
CLASSICS	COMP LIT	5	59
CLASSICS	COMP SCI	6	45
CLASSICS	EARTH SCI	92	49
CLASSICS	ECONOMICS	337	512
CLASSICS	EDUCATION	0	29
CLASSICS	ENGINEERING	0	4
CLASSICS	ENGLISH LIT	160	411
CLASSICS	EVOLUTION BIO	25	38
CLASSICS	HISTORY	24	90
CLASSICS	LINGUISTICS	1	3
CLASSICS	MATH	42	203
CLASSICS	MID EAST STUD	27	697
CLASSICS	MOLEC BIO	19	112
CLASSICS	MUS TH & COM	0	0
CLASSICS	NEUROSCI	22	399
CLASSICS	PHILOSOPHY	48	30
CLASSICS	PHYSICS	4	20
CLASSICS	POLITICAL SCI	3	0
CLASSICS	PSYCHOLOGY	84	374
CLASSICS	SOCIOLOLOGY	43	93
CLASSICS	SPANISH LIT	69	246
CLASSICS	STATISTICS	0	11
COMMUNIC	ANTHROPOLOGY	124	0
COMMUNIC	ARCHAEOLOGY	30	2
COMMUNIC	ART HISTORY	68	10
COMMUNIC	ASTRONOMY	133	16
COMMUNIC	BIOCHEMISTRY	127	39
COMMUNIC	CHEMISTRY	16	6
COMMUNIC	CLASSICS	33	4
COMMUNIC	COMMUNIC	191	37
COMMUNIC	COMP LIT	45	16
COMMUNIC	COMP SCI	148	19
COMMUNIC	EARTH SCI	257	69
COMMUNIC	ECONOMICS	52	10
COMMUNIC	EDUCATION	484	56
COMMUNIC	ENGINEERING	2	0
COMMUNIC	ENGLISH LIT	228	191
COMMUNIC	EVOLUTION BIO	44	13
COMMUNIC	HISTORY	187	12
COMMUNIC	LINGUISTICS	497	84
COMMUNIC	MATH	368	71
COMMUNIC	MID EAST STUD	182	30
COMMUNIC	MOLEC BIO	115	45
COMMUNIC	MUS TH & COM	445	254
COMMUNIC	NEUROSCI	106	8
COMMUNIC	PHILOSOPHY	32	10
COMMUNIC	PHYSICS	153	5
COMMUNIC	POLITICAL SCI	1	0
COMMUNIC	PSYCHOLOGY	193	11
COMMUNIC	SOCIOLOLOGY	144	90
COMMUNIC	SPANISH LIT	56	6
COMMUNIC	STATISTICS	37	14
COMP LIT	ANTHROPOLOGY	11	10
COMP LIT	ARCHAEOLOGY	75	118
COMP LIT	ART HISTORY	3	1
COMP LIT	ASTRONOMY	145	59
COMP LIT	BIOCHEMISTRY	97	12
COMP LIT	CHEMISTRY	12	9
COMP LIT	CLASSICS	41	163
COMP LIT	COMMUNIC	138	82
COMP LIT	COMP LIT	54	9
COMP LIT	COMP SCI	73	36
COMP LIT	EARTH SCI	5	0
COMP LIT	ECONOMICS	69	24
COMP LIT	EDUCATION	272	132
COMP LIT	ENGINEERING	297	12
COMP LIT	ENGLISH LIT	65	23
COMP LIT	EVOLUTION BIO	8	0
COMP LIT	HISTORY	211	92
COMP LIT	LINGUISTICS	25	4
COMP LIT	MATH	129	5
COMP LIT	MID EAST STUD	7	5
COMP LIT	MOLEC BIO	593	67
COMP LIT	MUS TH & COM	18	4
COMP LIT	NEUROSCI	54	17
COMP LIT	PHILOSOPHY	576	177
COMP LIT	PHYSICS	241	199
COMP LIT	POLITICAL SCI	158	83
COMP LIT	PSYCHOLOGY	177	93
COMP LIT	SOCIOLOLOGY	20	26
COMP LIT	SPANISH LIT	7	11
COMP LIT	STATISTICS	173	98
COMP SCI	ANTHROPOLOGY	58	43
COMP SCI	ARCHAEOLOGY	13	7
COMP SCI	ART HISTORY	82	61
COMP SCI	ASTRONOMY	175	59
