from_matched_field	to_matched_field	n_male	n_female
ANTHROPOLOGY	ANTHROPOLOGY	18	303
ANTHROPOLOGY	ARCHAEOLOGY	14	9
ANTHROPOLOGY	ART HISTORY	11	17
ANTHROPOLOGY	ASTRONOMY	0	21
ANTHROPOLOGY	BIOCHEMISTRY	2	8
ANTHROPOLOGY	CHEMISTRY	35	191
ANTHROPOLOGY	CLASSICS	4	116
ANTHROPOLOGY	COMMUNIC	5	26
ANTHROPOLOGY	COMP LIT	0	5
ANTHROPOLOGY	COMP SCI	3	5
ANTHROPOLOGY	EARTH SCI	4	401
ANTHROPOLOGY	ECONOMICS	29	103
ANTHROPOLOGY	EDUCATION	0	14
ANTHROPOLOGY	ENGINEERING	170	154
ANTHROPOLOGY	ENGLISH LIT	1	6
ANTHROPOLOGY	EVOLUTION BIO	32	86
ANTHROPOLOGY	HISTORY	6	87
ANTHROPOLOGY	LINGUISTICS	12	40
ANTHROPOLOGY	MATH	7	132
ANTHROPOLOGY	MID EAST STUD	6	43
ANTHROPOLOGY	MOLEC BIO	2	22
ANTHROPOLOGY	MUS TH & COM	1	6
ANTHROPOLOGY	NEUROSCI	133	282
ANTHROPOLOGY	PHILOSOPHY	15	75
ANTHROPOLOGY	PHYSICS	12	38
ANTHROPOLOGY	POLITICAL SCI	72	225
ANTHROPOLOGY	PSYCHOLOGY	22	207
ANTHROPOLOGY	SOCIOLOLOGY	1	11
ANTHROPOLOGY	SPANISH LIT	7	42
ANTHROPOLOGY	STATISTICS	24	312
ARCHAEOLOGY	ANTHROPOLOGY	40	67
ARCHAEOLOGY	ARCHAEOLOGY	28	45
ARCHAEOLOGY	ART HISTORY	207	48
ARCHAEOLOGY	ASTRONOMY	15	44
ARCHAEOLOGY	BIOCHEMISTRY	13	2
ARCHAEOLOGY	CHEMISTRY	81	63
ARCHAEOLOGY	CLASSICS	134	218
ARCHAEOLOGY	COMMUNIC	4	2
ARCHAEOLOGY	COMP LIT	51	24
ARCHAEOLOGY	COMP SCI	18	55
ARCHAEOLOGY	EARTH SCI	12	75
ARCHAEOLOGY	ECONOMICS	20	28
ARCHAEOLOGY	EDUCATION	39	48
ARCHAEOLOGY	ENGINEERING	389	92
ARCHAEOLOGY	ENGLISH LIT	20	53
ARCHAEOLOGY	EVOLUTION BIO	46	41
ARCHAEOLOGY	HISTORY	237	273
ARCHAEOLOGY	LINGUISTICS	57	44
ARCHAEOLOGY	MATH	18	83
ARCHAEOLOGY	MID EAST STUD	53	203
ARCHAEOLOGY	MOLEC BIO	20	14
ARCHAEOLOGY	MUS TH & COM	96	217
ARCHAEOLOGY	NEUROSCI	34	9
ARCHAEOLOGY	PHILOSOPHY	644	175
