field	covariate
ANTHROPOLOGY	3.163173885302273
ARCHAEOLOGY	3.2207827632087787
ART HISTORY	3.687160319358019
ASTRONOMY	2.5668020965993343
BIOCHEMISTRY	3.3348151466272635
CHEMISTRY	4.600320313790479
CLASSICS	4.548937344323808
COMMUNIC	4.47200358609353
COMP LIT	4.433068830204145
COMP SCI	2.7832732020154167
EARTH SCI	2.731295693982722
ECONOMICS	3.590551601368939
EDUCATION	4.174590838216762
ENGINEERING	2.3918263710931527
ENGLISH LIT	3.499534821600145
EVOLUTION BIO	4.324900722272913
HISTORY	2.9246965664105424
LINGUISTICS	2.5024441753621454
MATH	3.7052052604798305
MID EAST STUD	3.5808951050113143
MOLEC BIO	4.037935588655137
MUS TH & COM	4.7541438129353
NEUROSCI	2.4267109548380037
PHILOSOPHY	2.488830614868199
PHYSICS	3.274533500568719
POLITICAL SCI	3.3975733441450418
PSYCHOLOGY	3.7361624586644337
SOCIOLOLOGY	2.203769393725754
SPANISH LIT	2.061292513070945
STATISTICS	3.6421578534274435
