field	covariate
ANTHROPOLOGY	4.321371428303354
ARCHAEOLOGY	4.87648555924848
ART HISTORY	2.3013323279509446
ASTRONOMY	3.5440312911051604
BIOCHEMISTRY	2.047593418486533
CHEMISTRY	3.3512414744524284
CLASSICS	4.945172274589462
COMMUNIC	3.871522045226671
COMP LIT	3.3130726079412476
COMP SCI	2.127517745586179
EARTH SCI	2.096726174089246
ECONOMICS	3.829915127747573
EDUCATION	2.817504629301313
ENGINEERING	2.366100548194389
ENGLISH LIT	2.78161666407591
EVOLUTION BIO	4.387033296330139
HISTORY	3.68022860518579
LINGUISTICS	3.966307927979823
MATH	3.4574717225367095
MID EAST STUD	3.323247248561465
MOLEC BIO	3.650480452018563
MUS TH & COM	4.958171404385407
NEUROSCI	4.397875695138637
PHILOSOPHY	4.822290616027128
PHYSICS	4.9057891992549845
POLITICAL SCI	2.870324011636245
PSYCHOLOGY	3.216980180073042
SOCIOLOLOGY	2.638418182310601
SPANISH LIT	4.603271076671657
STATISTICS	4.304440032557579
