from_matched_field	to_matched_field	n_male	n_female
ANTHROPOLOGY	ANTHROPOLOGY	0	3
ANTHROPOLOGY	ARCHAEOLOGY	52	42
ANTHROPOLOGY	ART HISTORY	1	101
ANTHROPOLOGY	ASTRONOMY	5	1
ANTHROPOLOGY	BIOCHEMISTRY	13	11
ANTHROPOLOGY	CHEMISTRY	21	374
ANTHROPOLOGY	CLASSICS	93	501
ANTHROPOLOGY	COMMUNIC	74	337
ANTHROPOLOGY	COMP LIT	65	301
ANTHROPOLOGY	COMP SCI	0	2
ANTHROPOLOGY	EARTH SCI	24	96
ANTHROPOLOGY	ECONOMICS	59	333
ANTHROPOLOGY	EDUCATION	59	166
ANTHROPOLOGY	ENGINEERING	74	76
ANTHROPOLOGY	ENGLISH LIT	32	9
ANTHROPOLOGY	EVOLUTION BIO	10	51
ANTHROPOLOGY	HISTORY	23	252
ANTHROPOLOGY	LINGUISTICS	76	686
ANTHROPOLOGY	MATH	271	92
ANTHROPOLOGY	MID EAST STUD	8	39
ANTHROPOLOGY	MOLEC BIO	31	42
ANTHROPOLOGY	MUS TH & COM	47	205
ANTHROPOLOGY	NEUROSCI	9	8
ANTHROPOLOGY	PHILOSOPHY	3	311
ANTHROPOLOGY	PHYSICS	233	561
ANTHROPOLOGY	POLITICAL SCI	10	58
ANTHROPOLOGY	PSYCHOLOGY	16	353
ANTHROPOLOGY	SOCIOLOLOGY	42	161
ANTHROPOLOGY	SPANISH LIT	3	76
ANTHROPOLOGY	STATISTICS	20	14
ARCHAEOLOGY	ANTHROPOLOGY	74	279
ARCHAEOLOGY	ARCHAEOLOGY	62	204
ARCHAEOLOGY	ART HISTORY	43	257
ARCHAEOLOGY	ASTRONOMY	153	772
ARCHAEOLOGY	BIOCHEMISTRY	260	308
ARCHAEOLOGY	CHEMISTRY	6	25
ARCHAEOLOGY	CLASSICS	13	57
ARCHAEOLOGY	COMMUNIC	98	223
ARCHAEOLOGY	COMP LIT	98	413
ARCHAEOLOGY	COMP SCI	19	58
ARCHAEOLOGY	EARTH SCI	42	92
ARCHAEOLOGY	ECONOMICS	31	7
ARCHAEOLOGY	EDUCATION	11	85
ARCHAEOLOGY	ENGINEERING	230	84
ARCHAEOLOGY	ENGLISH LIT	62	199
ARCHAEOLOGY	EVOLUTION BIO	106	1007
ARCHAEOLOGY	HISTORY	3	4
ARCHAEOLOGY	LINGUISTICS	18	182
ARCHAEOLOGY	MATH	16	48
ARCHAEOLOGY	MID EAST STUD	576	146
ARCHAEOLOGY	MOLEC BIO	11	183
ARCHAEOLOGY	MUS TH & COM	40	573
ARCHAEOLOGY	NEUROSCI	170	428
ARCHAEOLOGY	PHILOSOPHY	0	9
ARCHAEOLOGY	PHYSICS	17	322
ARCHAEOLOGY	POLITICAL SCI	39	261
ARCHAEOLOGY	PSYCHOLOGY	0	19
ARCHAEOLOGY	SOCIOLOLOGY	214	90
ARCHAEOLOGY	SPANISH LIT	125	117
ARCHAEOLOGY	STATISTICS	99	634
ART HISTORY	ANTHROPOLOGY	80	49
ART HISTORY	ARCHAEOLOGY	220	64
ART HISTORY	ART HISTORY	7	70
ART HISTORY	ASTRONOMY	20	178
ART HISTORY	BIOCHEMISTRY	283	44
ART HISTORY	CHEMISTRY	16	82
ART HISTORY	CLASSICS	2	3
ART HISTORY	COMMUNIC	4	2
ART HISTORY	COMP LIT	14	40
ART HISTORY	COMP SCI	80	66
ART HISTORY	EARTH SCI	31	18
ART HISTORY	ECONOMICS	305	295
ART HISTORY	EDUCATION	19	58
ART HISTORY	ENGINEERING	31	27
ART HISTORY	ENGLISH LIT	122	28
ART HISTORY	EVOLUTION BIO	81	70
ART HISTORY	HISTORY	7	38
ART HISTORY	LINGUISTICS	19	81
ART HISTORY	MATH	316	33
ART HISTORY	MID EAST STUD	33	16
ART HISTORY	MOLEC BIO	68	36
ART HISTORY	MUS TH & COM	1	15
ART HISTORY	NEUROSCI	39	14
ART HISTORY	PHILOSOPHY	27	57
ART HISTORY	PHYSICS	0	4
ART HISTORY	POLITICAL SCI	16	21
ART HISTORY	PSYCHOLOGY	11	14
ART HISTORY	SOCIOLOLOGY	9	22
ART HISTORY	SPANISH LIT	12	40
ART HISTORY	STATISTICS	96	21
ASTRONOMY	ANTHROPOLOGY	25	145
ASTRONOMY	ARCHAEOLOGY	45	277
ASTRONOMY	ART HISTORY	48	342
ASTRONOMY	ASTRONOMY	354	294
ASTRONOMY	BIOCHEMISTRY	39	151
ASTRONOMY	CHEMISTRY	22	179
ASTRONOMY	CLASSICS	38	141
ASTRONOMY	COMMUNIC	18	56
ASTRONOMY	COMP LIT	12	44
ASTRONOMY	COMP SCI	9	21
ASTRONOMY	EARTH SCI	133	294
ASTRONOMY	ECONOMICS	95	29
ASTRONOMY	EDUCATION	4	19
ASTRONOMY	ENGINEERING	751	322
ASTRONOMY	ENGLISH LIT	921	357
ASTRONOMY	EVOLUTION BIO	75	318
ASTRONOMY	HISTORY	19	88
ASTRONOMY	LINGUISTICS	104	99
ASTRONOMY	MATH	23	40
ASTRONOMY	MID EAST STUD	1	3
ASTRONOMY	MOLEC BIO	67	348
ASTRONOMY	MUS TH & COM	32	30
ASTRONOMY	NEUROSCI	3	12
ASTRONOMY	PHILOSOPHY	106	427
ASTRONOMY	PHYSICS	56	309
ASTRONOMY	POLITICAL SCI	148	262
ASTRONOMY	PSYCHOLOGY	30	226
ASTRONOMY	SOCIOLOLOGY	99	414
ASTRONOMY	SPANISH LIT	11	108
ASTRONOMY	STATISTICS	49	31
BIOCHEMISTRY	ANTHROPOLOGY	78	241
BIOCHEMISTRY	ARCHAEOLOGY	156	772
BIOCHEMISTRY	ART HISTORY	4	176
BIOCHEMISTRY	ASTRONOMY	2	127
BIOCHEMISTRY	BIOCHEMISTRY	7	16
BIOCHEMISTRY	CHEMISTRY	158	210
BIOCHEMISTRY	CLASSICS	5	242
BIOCHEMISTRY	COMMUNIC	2	72
BIOCHEMISTRY	COMP LIT	7	78
BIOCHEMISTRY	COMP SCI	2	66
BIOCHEMISTRY	EARTH SCI	49	206
BIOCHEMISTRY	ECONOMICS	128	62
BIOCHEMISTRY	EDUCATION	39	188
BIOCHEMISTRY	ENGINEERING	20	77
BIOCHEMISTRY	ENGLISH LIT	166	644
BIOCHEMISTRY	EVOLUTION BIO	3	5
BIOCHEMISTRY	HISTORY	28	165
BIOCHEMISTRY	LINGUISTICS	3	215
BIOCHEMISTRY	MATH	50	95
BIOCHEMISTRY	MID EAST STUD	73	33
BIOCHEMISTRY	MOLEC BIO	133	337
BIOCHEMISTRY	MUS TH & COM	10	62
BIOCHEMISTRY	NEUROSCI	24	43
BIOCHEMISTRY	PHILOSOPHY	0	23
BIOCHEMISTRY	PHYSICS	10	565
BIOCHEMISTRY	POLITICAL SCI	35	313
BIOCHEMISTRY	PSYCHOLOGY	65	322
BIOCHEMISTRY	SOCIOLOLOGY	76	249
BIOCHEMISTRY	SPANISH LIT	61	338
BIOCHEMISTRY	STATISTICS	94	94
CHEMISTRY	ANTHROPOLOGY	210	33
CHEMISTRY	ARCHAEOLOGY	72	34
CHEMISTRY	ART HISTORY	320	587
CHEMISTRY	ASTRONOMY	148	21
CHEMISTRY	BIOCHEMISTRY	423	16
CHEMISTRY	CHEMISTRY	57	11
CHEMISTRY	CLASSICS	59	165
CHEMISTRY	COMMUNIC	60	232
CHEMISTRY	COMP LIT	89	48
CHEMISTRY	COMP SCI	9	4
CHEMISTRY	EARTH SCI	477	152
CHEMISTRY	ECONOMICS	27	4
CHEMISTRY	EDUCATION	60	96
CHEMISTRY	ENGINEERING	80	73
CHEMISTRY	ENGLISH LIT	325	177
CHEMISTRY	EVOLUTION BIO	37	13
CHEMISTRY	HISTORY	85	182
CHEMISTRY	LINGUISTICS	92	119
CHEMISTRY	MATH	159	40
CHEMISTRY	MID EAST STUD	500	142
CHEMISTRY	MOLEC BIO	58	45
CHEMISTRY	MUS TH & COM	25	77
CHEMISTRY	NEUROSCI	294	14
CHEMISTRY	PHILOSOPHY	10	38
CHEMISTRY	PHYSICS	112	71
CHEMISTRY	POLITICAL SCI	15	9
CHEMISTRY	PSYCHOLOGY	130	87
CHEMISTRY	SOCIOLOLOGY	111	29
CHEMISTRY	SPANISH LIT	446	25
CHEMISTRY	STATISTICS	173	54
CLASSICS	ANTHROPOLOGY	55	79
CLASSICS	ARCHAEOLOGY	682	282
CLASSICS	ART HISTORY	3	22
CLASSICS	ASTRONOMY	80	42
CLASSICS	BIOCHEMISTRY	286	309
CLASSICS	CHEMISTRY	377	72
CLASSICS	CLASSICS	1	6
CLASSICS	COMMUNIC	1	0
CLASSICS	COMP LIT	39	88
CLASSICS	COMP SCI	75	89
CLASSICS	EARTH SCI	3	14
CLASSICS	ECONOMICS	318	13
CLASSICS	EDUCATION	569	895
CLASSICS	ENGINEERING	65	24
CLASSICS	ENGLISH LIT	84	93
CLASSICS	EVOLUTION BIO	37	95
CLASSICS	HISTORY	3	21
CLASSICS	LINGUISTICS	1	18
CLASSICS	MATH	319	127
CLASSICS	MID EAST STUD	100	103
CLASSICS	MOLEC BIO	53	36
CLASSICS	MUS TH & COM	1	2
CLASSICS	NEUROSCI	232	94
CLASSICS	PHILOSOPHY	7	38
CLASSICS	PHYSICS	0	2
CLASSICS	POLITICAL SCI	7	7
CLASSICS	PSYCHOLOGY	2	17
