field	covariate
ANTHROPOLOGY	3.504701407523444
ARCHAEOLOGY	3.2008931896479824
ART HISTORY	3.2695488493488893
ASTRONOMY	3.409662961904246
BIOCHEMISTRY	2.670884415143158
CHEMISTRY	2.8558777605436276
CLASSICS	4.592992613025595
COMMUNIC	3.3870351489973514
COMP LIT	4.61846929321759
COMP SCI	4.580820882890698
EARTH SCI	2.7510649492169836
ECONOMICS	3.6198911245517253
EDUCATION	2.3434265169508874
ENGINEERING	2.998692432151614
ENGLISH LIT	4.34283634044373
EVOLUTION BIO	3.413963558444374
HISTORY	3.5679933399586323
LINGUISTICS	3.2912863803079553
MATH	3.152760958209284
MID EAST STUD	3.0271968629056163
MOLEC BIO	4.261424997811123
MUS TH & COM	2.854026630883813
NEUROSCI	4.080105461240899
PHILOSOPHY	2.491322281822856
PHYSICS	4.869039198520978
POLITICAL SCI	3.980523288855076
PSYCHOLOGY	4.5020869972381
SOCIOLOLOGY	4.201670862459318
SPANISH LIT	4.571801903458068
STATISTICS	3.8633788359587786
