field	covariate
ANTHROPOLOGY	3.4397544011932926
ARCHAEOLOGY	2.7580306128966003
ART HISTORY	3.6923543200483278
ASTRONOMY	3.106465187023137
BIOCHEMISTRY	4.096690119005816
CHEMISTRY	2.4600268299467545
CLASSICS	2.02892190381496
COMMUNIC	2.835438268786204
COMP LIT	4.455948313258491
COMP SCI	3.4148165311380057
EARTH SCI	2.1453912392235948
ECONOMICS	4.041572516220006
EDUCATION	3.861445751992357
ENGINEERING	2.019759610008279
ENGLISH LIT	3.1634497440094287
EVOLUTION BIO	2.006121834596355
HISTORY	4.81268825288033
LINGUISTICS	4.460023781670124
MATH	2.0947036965145274
MID EAST STUD	4.2981115375051475
MOLEC BIO	3.702870122017458
MUS TH & COM	4.050885429818402
NEUROSCI	3.7305507278374304
PHILOSOPHY	3.088824078987633
PHYSICS	4.645063248584612
POLITICAL SCI	4.522526787172239
PSYCHOLOGY	4.865350627068288
SOCIOLOLOGY	4.327690138544796
SPANISH LIT	4.105132888894609
STATISTICS	3.2736185291555553
