field	covariate
ANTHROPOLOGY	3.636397851714718
ARCHAEOLOGY	2.363574876476812
ART HISTORY	2.880888709277282
ASTRONOMY	3.795836698098576
BIOCHEMISTRY	4.531450595731712
CHEMISTRY	4.659631964011612
CLASSICS	2.032829252244257
COMMUNIC	3.368419071845852
COMP LIT	2.3692583846400055
COMP SCI	2.234088920946006
EARTH SCI	3.9687912857900067
ECONOMICS	2.247921021758538
EDUCATION	4.832458374795273
ENGINEERING	3.8669393341546243
ENGLISH LIT	2.123811254578842
EVOLUTION BIO	4.587440465673727
HISTORY	2.345110328643474
LINGUISTICS	2.4173042888801426
MATH	2.650530029095621
MID EAST STUD	3.7289224045458
MOLEC BIO	4.572742272072604
MUS TH & COM	3.8409560113632595
NEUROSCI	2.467296717989169
PHILOSOPHY	4.394712265755895
PHYSICS	3.136444485157138
POLITICAL SCI	4.441572678423162
PSYCHOLOGY	3.5350321919396945
SOCIOLOLOGY	3.5117352438797544
SPANISH LIT	3.2676908518024246
STATISTICS	3.5073065480822305
