field	covariate
ANTHROPOLOGY	4.002553613359976
ARCHAEOLOGY	2.4750595271685456
ART HISTORY	3.8689415574340926
ASTRONOMY	3.5666714646901116
BIOCHEMISTRY	4.557823518405128
CHEMISTRY	2.341146666985963
CLASSICS	4.3783721105478435
COMMUNIC	3.174524533317809
COMP LIT	2.6181829767461324
COMP SCI	4.027233725046168
EARTH SCI	3.6116503178800583
ECONOMICS	2.1636114618628643
EDUCATION	4.86882131946785
ENGINEERING	3.029009829518176
ENGLISH LIT	3.161604862653475
EVOLUTION BIO	2.218137494407666
HISTORY	3.044957927803499
LINGUISTICS	2.327581610270557
MATH	3.9298597629530856
MID EAST STUD	3.5239145428474474
MOLEC BIO	4.32260996104486
MUS TH & COM	2.1109430819111727
NEUROSCI	2.9961695688693046
PHILOSOPHY	4.7522273561166415
PHYSICS	2.6198617597036185
POLITICAL SCI	3.9170257842177767
PSYCHOLOGY	2.552860477629242
SOCIOLOLOGY	3.6640906834723346
SPANISH LIT	4.059212062984383
STATISTICS	4.00993369653496
