from_matched_field	to_matched_field	n_male	n_female
ANTHROPOLOGY	ANTHROPOLOGY	93	260
ANTHROPOLOGY	ARCHAEOLOGY	61	385
ANTHROPOLOGY	ART HISTORY	2	149
ANTHROPOLOGY	ASTRONOMY	164	125
ANTHROPOLOGY	BIOCHEMISTRY	42	1076
ANTHROPOLOGY	CHEMISTRY	57	421
ANTHROPOLOGY	CLASSICS	31	301
ANTHROPOLOGY	COMMUNIC	36	870
ANTHROPOLOGY	COMP LIT	8	60
ANTHROPOLOGY	COMP SCI	64	325
ANTHROPOLOGY	EARTH SCI	17	303
ANTHROPOLOGY	ECONOMICS	93	193
ANTHROPOLOGY	EDUCATION	4	178
ANTHROPOLOGY	ENGINEERING	7	40
ANTHROPOLOGY	ENGLISH LIT	20	247
ANTHROPOLOGY	EVOLUTION BIO	36	48
ANTHROPOLOGY	HISTORY	74	274
ANTHROPOLOGY	LINGUISTICS	15	49
ANTHROPOLOGY	MATH	100	285
ANTHROPOLOGY	MID EAST STUD	121	139
ANTHROPOLOGY	MOLEC BIO	54	65
ANTHROPOLOGY	MUS TH & COM	70	159
ANTHROPOLOGY	NEUROSCI	14	457
ANTHROPOLOGY	PHILOSOPHY	1	2
ANTHROPOLOGY	PHYSICS	55	201
ANTHROPOLOGY	POLITICAL SCI	16	42
ANTHROPOLOGY	PSYCHOLOGY	238	221
ANTHROPOLOGY	SOCIOLOLOGY	22	35
ANTHROPOLOGY	SPANISH LIT	63	173
ANTHROPOLOGY	STATISTICS	19	244
ARCHAEOLOGY	ANTHROPOLOGY	803	148
ARCHAEOLOGY	ARCHAEOLOGY	154	80
ARCHAEOLOGY	ART HISTORY	63	69
ARCHAEOLOGY	ASTRONOMY	52	25
ARCHAEOLOGY	BIOCHEMISTRY	47	133
ARCHAEOLOGY	CHEMISTRY	32	83
ARCHAEOLOGY	CLASSICS	369	117
ARCHAEOLOGY	COMMUNIC	10	13
ARCHAEOLOGY	COMP LIT	150	99
ARCHAEOLOGY	COMP SCI	42	64
ARCHAEOLOGY	EARTH SCI	203	182
ARCHAEOLOGY	ECONOMICS	544	178
ARCHAEOLOGY	EDUCATION	3	17
ARCHAEOLOGY	ENGINEERING	479	244
ARCHAEOLOGY	ENGLISH LIT	137	113
ARCHAEOLOGY	EVOLUTION BIO	250	214
ARCHAEOLOGY	HISTORY	108	47
ARCHAEOLOGY	LINGUISTICS	253	910
ARCHAEOLOGY	MATH	378	107
ARCHAEOLOGY	MID EAST STUD	39	6
ARCHAEOLOGY	MOLEC BIO	217	416
ARCHAEOLOGY	MUS TH & COM	305	292
ARCHAEOLOGY	NEUROSCI	270	563
ARCHAEOLOGY	PHILOSOPHY	206	62
ARCHAEOLOGY	PHYSICS	7	12
ARCHAEOLOGY	POLITICAL SCI	215	93
ARCHAEOLOGY	PSYCHOLOGY	44	42
ARCHAEOLOGY	SOCIOLOLOGY	5	14
ARCHAEOLOGY	SPANISH LIT	122	52
ARCHAEOLOGY	STATISTICS	36	183
ART HISTORY	ANTHROPOLOGY	60	71
ART HISTORY	ARCHAEOLOGY	47	70
ART HISTORY	ART HISTORY	8	29
ART HISTORY	ASTRONOMY	116	47
ART HISTORY	BIOCHEMISTRY	1	3
ART HISTORY	CHEMISTRY	22	63
ART HISTORY	CLASSICS	44	24
ART HISTORY	COMMUNIC	195	197
ART HISTORY	COMP LIT	9	27
ART HISTORY	COMP SCI	636	251
ART HISTORY	EARTH SCI	146	19
ART HISTORY	ECONOMICS	167	224
ART HISTORY	EDUCATION	5	34
ART HISTORY	ENGINEERING	49	547
ART HISTORY	ENGLISH LIT	36	139
