field	covariate
ANTHROPOLOGY	3.0463079396406454
ARCHAEOLOGY	4.566877281974495
ART HISTORY	2.027753975797066
ASTRONOMY	2.3734580774912386
BIOCHEMISTRY	4.928180132088389
CHEMISTRY	3.641281105995085
CLASSICS	3.811360111705584
COMMUNIC	4.729008099106549
COMP LIT	2.393396546667634
COMP SCI	2.919614769383048
EARTH SCI	3.9505525035460725
ECONOMICS	4.067137125719444
EDUCATION	3.1672553305610123
ENGINEERING	3.622801388447316
ENGLISH LIT	2.928570832449293
EVOLUTION BIO	4.687003726541031
HISTORY	2.194568187263221
LINGUISTICS	2.199932052131903
MATH	3.0558126022845684
MID EAST STUD	3.3851585108811513
MOLEC BIO	3.9985356091937194
MUS TH & COM	2.983280606831363
NEUROSCI	4.3408044038891545
PHILOSOPHY	4.046131936988145
PHYSICS	4.7824225926860935
POLITICAL SCI	4.8430642540567295
PSYCHOLOGY	4.547143118305263
SOCIOLOLOGY	2.9881141621883853
SPANISH LIT	4.085440249577337
STATISTICS	4.160759811834552
