field	covariate
ANTHROPOLOGY	2.848282363711557
ARCHAEOLOGY	4.027214540740113
ART HISTORY	4.070376512882778
ASTRONOMY	2.3136572433269196
BIOCHEMISTRY	2.8750458823304466
CHEMISTRY	2.262589513823049
CLASSICS	2.997200153736369
COMMUNIC	3.3222353791023718
COMP LIT	3.31368173727959
COMP SCI	4.113907961210757
EARTH SCI	3.2680785960106027
ECONOMICS	3.243564942395947
EDUCATION	2.84899205672073
ENGINEERING	2.8215044896444064
ENGLISH LIT	4.149387047147162
EVOLUTION BIO	3.4597615956597134
HISTORY	4.264897561559087
LINGUISTICS	4.271832085409724
MATH	3.151304721801035
MID EAST STUD	3.910545937497477
MOLEC BIO	3.2429547745957144
MUS TH & COM	4.249450214576512
NEUROSCI	4.200171057047529
PHILOSOPHY	3.744059894444627
PHYSICS	4.552457207385409
POLITICAL SCI	3.597477185481252
PSYCHOLOGY	3.154325774763115
SOCIOLOLOGY	2.5545803782713348
SPANISH LIT	2.4593312229230775
STATISTICS	2.5676001616471877
