field	covariate
ANTHROPOLOGY	2.2930149796543153
ARCHAEOLOGY	3.745501763011435
ART HISTORY	2.9599572194491173
ASTRONOMY	4.070816033397719
BIOCHEMISTRY	4.941815077419912
CHEMISTRY	4.221486408059948
CLASSICS	3.4395215182639007
COMMUNIC	4.414742022453051
COMP LIT	3.802496779238032
COMP SCI	4.932886861672108
EARTH SCI	3.1252232611580246
ECONOMICS	4.97618814891217
EDUCATION	4.704200980527061
ENGINEERING	4.037944296604105
ENGLISH LIT	4.2321906358053845
EVOLUTION BIO	4.062399012904031
HISTORY	4.010009259205891
LINGUISTICS	2.8281080438593187
MATH	2.725059713977914
MID EAST STUD	4.614870652732154
MOLEC BIO	2.73618103177873
MUS TH & COM	4.958383181248365
NEUROSCI	3.3646501628033785
PHILOSOPHY	4.446306632865568
PHYSICS	4.830041630671516
POLITICAL SCI	2.2794140699240737
PSYCHOLOGY	4.395525394092552
SOCIOLOLOGY	4.372188065778191
SPANISH LIT	2.7770679384585737
STATISTICS	4.0884067003733655
