field	covariate
ANTHROPOLOGY	2.7737028449368735
ARCHAEOLOGY	3.5271064056261414
ART HISTORY	3.6192411383943273
ASTRONOMY	2.948216342212981
BIOCHEMISTRY	3.5069271192521656
CHEMISTRY	3.8120096146962514
CLASSICS	3.478588958066
COMMUNIC	2.554859529616989
COMP LIT	2.0081807157008087
COMP SCI	2.956898141081435
EARTH SCI	3.8470432824551324
ECONOMICS	3.4257130923672854
EDUCATION	2.6540646755865502
ENGINEERING	4.871475063233828
ENGLISH LIT	3.9850554808098666
EVOLUTION BIO	2.9947199432976244
HISTORY	3.7248546732310217
LINGUISTICS	3.9936913500879436
MATH	4.7083948674350395
MID EAST STUD	2.776794558564546
MOLEC BIO	2.112150171221857
MUS TH & COM	2.1197374855494764
NEUROSCI	2.480103396774936
PHILOSOPHY	4.053890151932652
PHYSICS	3.310169109105039
POLITICAL SCI	2.769537850564824
PSYCHOLOGY	4.018706822180171
SOCIOLOLOGY	3.151308755559926
SPANISH LIT	4.0044690817529665
STATISTICS	3.815410224829682
