field	covariate
ANTHROPOLOGY	4.142259195286155
ARCHAEOLOGY	2.90740753472998
ART HISTORY	2.632664667407308
ASTRONOMY	3.2373579514643973
BIOCHEMISTRY	2.0268406572249367
CHEMISTRY	3.202896887820854
CLASSICS	3.3386155055132827
COMMUNIC	4.510906565988255
COMP LIT	2.7801864337754796
COMP SCI	2.1541071555447413
EARTH SCI	2.8211296866949573
ECONOMICS	4.132096262462458
EDUCATION	4.19026935013902
ENGINEERING	3.931920266152802
ENGLISH LIT	2.9810487569688506
EVOLUTION BIO	3.125075934852084
HISTORY	3.6321688019295815
LINGUISTICS	3.2239451025411645
MATH	2.4979917569982124
MID EAST STUD	2.00717259508629
MOLEC BIO	2.7765599517574806
MUS TH & COM	3.177936704384004
NEUROSCI	3.808636508618065
PHILOSOPHY	3.436533343117944
PHYSICS	4.675154765432172
POLITICAL SCI	4.49570854413064
PSYCHOLOGY	3.7557224895838055
SOCIOLOLOGY	2.7393181920270218
SPANISH LIT	4.249335920023208
STATISTICS	2.9144182006688486
