field	covariate
ANTHROPOLOGY	4.590801368425986
ARCHAEOLOGY	4.1423542742730435
ART HISTORY	3.4201451786662984
ASTRONOMY	3.4006895178608914
BIOCHEMISTRY	3.140123902640541
CHEMISTRY	4.477217955550282
CLASSICS	2.8743234632894117
COMMUNIC	2.2738699296227254
COMP LIT	2.0116628353474333
COMP SCI	4.702171222259421
EARTH SCI	2.1564799307633344
ECONOMICS	4.076264757658053
EDUCATION	3.1729840154568727
ENGINEERING	3.107163179068432
ENGLISH LIT	4.646696540016545
EVOLUTION BIO	3.6576786579887615
HISTORY	3.232671251417871
LINGUISTICS	2.065802939132725
MATH	2.7609392542779565
MID EAST STUD	3.3958609771174135
MOLEC BIO	4.026035327783081
MUS TH & COM	4.483352087850468
NEUROSCI	2.3810638027259556
PHILOSOPHY	3.006234295001298
PHYSICS	2.3361121864198946
POLITICAL SCI	4.39231369640091
PSYCHOLOGY	4.76974628693719
SOCIOLOLOGY	3.2725055391502673
SPANISH LIT	2.361889489830528
STATISTICS	4.745426687017909
