field	covariate
ANTHROPOLOGY	3.4447736253357335
ARCHAEOLOGY	2.99835916705446
ART HISTORY	4.911925243644143
ASTRONOMY	3.820762348110663
BIOCHEMISTRY	3.5980479566528385
CHEMISTRY	3.9944966614951394
CLASSICS	4.675591563957692
COMMUNIC	3.3765287672827506
COMP LIT	3.084386041371449
COMP SCI	3.622333496585283
EARTH SCI	4.312917412616748
ECONOMICS	4.716467416574855
EDUCATION	3.863790570315926
ENGINEERING	4.312016781173883
ENGLISH LIT	4.33871463820366
EVOLUTION BIO	3.2412551451307787
HISTORY	2.6642383484232104
LINGUISTICS	2.1401737079351832
MATH	4.1832747226933265
MID EAST STUD	3.651815382371575
MOLEC BIO	4.773290867260808
MUS TH & COM	3.7603681255095616
NEUROSCI	4.527886421067294
PHILOSOPHY	3.5416607402135534
PHYSICS	4.916016940441439
POLITICAL SCI	2.4360636525398656
PSYCHOLOGY	2.101704499601689
SOCIOLOLOGY	3.9831630810590566
SPANISH LIT	3.9626356933758258
STATISTICS	3.5973095288698245
