field	covariate
ANTHROPOLOGY	4.171255761335613
ARCHAEOLOGY	2.3842839028257714
ART HISTORY	3.3063686670094574
ASTRONOMY	2.8876475633827337
BIOCHEMISTRY	3.756823030049934
CHEMISTRY	4.171200392686194
CLASSICS	3.8535190733905624
COMMUNIC	2.856933370391883
COMP LIT	2.750932307113586
COMP SCI	3.9904276194671575
EARTH SCI	4.4624018962515795
ECONOMICS	4.449683455042352
EDUCATION	2.9721980028234283
ENGINEERING	3.2307104806493423
ENGLISH LIT	3.946284569234441
EVOLUTION BIO	2.966729848342112
HISTORY	3.4033273036647556
LINGUISTICS	3.4074824034347455
MATH	3.1149937017409175
MID EAST STUD	4.175243453871722
MOLEC BIO	4.738369597087065
MUS TH & COM	3.612385889435925
NEUROSCI	3.805625405666931
PHILOSOPHY	4.697482307249246
PHYSICS	4.8955141578195285
POLITICAL SCI	4.546459662361567
PSYCHOLOGY	4.511208192329619
SOCIOLOLOGY	4.206086561116443
SPANISH LIT	4.699788255951272
STATISTICS	3.7778740646209
