field	covariate
ANTHROPOLOGY	2.9331076100221534
ARCHAEOLOGY	3.031749349769828
ART HISTORY	3.022870443975088
ASTRONOMY	4.408391733495176
BIOCHEMISTRY	3.805386605481292
CHEMISTRY	3.682506803860913
CLASSICS	2.5902422534338387
COMMUNIC	3.6996775416817393
COMP LIT	2.567604086465332
COMP SCI	3.3929144306758507
EARTH SCI	4.4546947700741
ECONOMICS	3.1933291730176983
EDUCATION	3.0080251568352865
ENGINEERING	3.0224718464720737
ENGLISH LIT	2.0184757923105354
EVOLUTION BIO	4.970529998000451
HISTORY	2.053480518162536
LINGUISTICS	4.7572324715736745
MATH	3.9835831132774926
MID EAST STUD	3.765949179437239
MOLEC BIO	3.4636825827442754
MUS TH & COM	2.967728187692725
NEUROSCI	2.248009254808766
PHILOSOPHY	3.2880139500521444
PHYSICS	2.8684594306364044
POLITICAL SCI	3.499198049891535
PSYCHOLOGY	2.774094475675618
SOCIOLOLOGY	3.3102413864289204
SPANISH LIT	3.511024612356847
STATISTICS	3.3896471714048966
