field	covariate
ANTHROPOLOGY	3.1692888811680286
ARCHAEOLOGY	3.938957737133679
ART HISTORY	2.693474100726748
ASTRONOMY	3.681064607063724
BIOCHEMISTRY	3.349026461657132
CHEMISTRY	3.385858513657353
CLASSICS	3.6454891187792144
COMMUNIC	2.6007450926537965
COMP LIT	4.96569710436885
COMP SCI	2.1185396767131226
EARTH SCI	2.974810350908009
ECONOMICS	2.9233602367339526
EDUCATION	4.6468640092733295
ENGINEERING	3.9462396104927184
ENGLISH LIT	2.2724779370540134
EVOLUTION BIO	2.5066293637235213
HISTORY	3.4734816578744234
LINGUISTICS	4.198306079187826
MATH	2.903766430557321
MID EAST STUD	3.0912030707455456
MOLEC BIO	2.9489293684580233
MUS TH & COM	3.66394356830842
NEUROSCI	4.738434146810668
PHILOSOPHY	3.191147291351006
PHYSICS	4.79420546264744
POLITICAL SCI	4.276988966364641
PSYCHOLOGY	4.5974028168014005
SOCIOLOLOGY	2.6578228884963995
SPANISH LIT	3.4728780761676004
STATISTICS	4.559136970662337
