field	covariate
ANTHROPOLOGY	3.9471659845293345
ARCHAEOLOGY	3.0336702313423407
ART HISTORY	3.768615620404254
ASTRONOMY	3.9392710433881772
BIOCHEMISTRY	4.128974953895126
CHEMISTRY	3.661118340261388
CLASSICS	2.245291216327677
COMMUNIC	4.431937959375792
COMP LIT	2.7730348710761925
COMP SCI	3.3818709270029617
EARTH SCI	2.1395824010611415
ECONOMICS	3.461025464984909
EDUCATION	3.888141465192952
ENGINEERING	4.800536312219659
ENGLISH LIT	3.8198380207645095
EVOLUTION BIO	3.3940431015285513
HISTORY	3.9037469492601367
LINGUISTICS	4.6313488532856795
MATH	2.9737653300011884
MID EAST STUD	4.050034229901464
MOLEC BIO	3.6649973193938674
MUS TH & COM	4.0824780851814175
NEUROSCI	4.263390710567203
PHILOSOPHY	4.489545066363487
PHYSICS	3.704819394305047
POLITICAL SCI	4.865025514808261
PSYCHOLOGY	4.723038665738138
SOCIOLOLOGY	2.2142178275071815
SPANISH LIT	2.1445541919212077
STATISTICS	2.048904366410383
