field	covariate
ANTHROPOLOGY	2.668632675596637
ARCHAEOLOGY	4.6502788251615375
ART HISTORY	2.761025499760464
ASTRONOMY	3.045621296602206
BIOCHEMISTRY	3.3523393994665303
CHEMISTRY	2.691526402829969
CLASSICS	4.428345257571372
COMMUNIC	4.1690224950973676
COMP LIT	3.0810419957353536
COMP SCI	4.844398856292415
EARTH SCI	4.819910545274412
ECONOMICS	3.48246059469159
EDUCATION	2.3356142146606977
ENGINEERING	2.0533760636610583
ENGLISH LIT	3.510204583600696
EVOLUTION BIO	3.0415323134513312
HISTORY	2.0377006430790066
LINGUISTICS	2.2972129088022144
MATH	3.624292724740387
MID EAST STUD	3.0013984332926933
MOLEC BIO	3.999482295587465
MUS TH & COM	2.064166801857502
NEUROSCI	2.99462569942298
PHILOSOPHY	4.3522468527027485
PHYSICS	4.231061365174925
POLITICAL SCI	3.044262704799907
PSYCHOLOGY	4.296699043843774
SOCIOLOLOGY	2.0433031169833935
SPANISH LIT	4.342688870171812
STATISTICS	3.3054617090444873
