field	covariate
ANTHROPOLOGY	2.5809524899306586
ARCHAEOLOGY	4.258367679330895
ART HISTORY	2.5208010285408093
ASTRONOMY	4.183754630887854
BIOCHEMISTRY	4.697658454644656
CHEMISTRY	4.460662654476316
CLASSICS	2.2501956599506903
COMMUNIC	4.346967142377567
COMP LIT	4.323769506382274
COMP SCI	4.83904987938949
EARTH SCI	2.9068492936254287
ECONOMICS	3.0555830263491743
EDUCATION	4.364820766377883
ENGINEERING	4.334316596497512
ENGLISH LIT	4.014568214001349
EVOLUTION BIO	2.184152323898423
HISTORY	4.792420786163401
LINGUISTICS	2.031545673708501
MATH	2.734561477899612
MID EAST STUD	2.220739884248818
MOLEC BIO	4.098074439920728
MUS TH & COM	3.488989927507686
NEUROSCI	3.780149746694461
PHILOSOPHY	2.90671611779374
PHYSICS	4.259387894755667
POLITICAL SCI	3.330192546778538
PSYCHOLOGY	2.205967541341384
SOCIOLOLOGY	4.874835469163598
SPANISH LIT	2.731575076741368
STATISTICS	3.269097856827917
