field	covariate
ANTHROPOLOGY	4.989058958271733
ARCHAEOLOGY	3.2212669070191913
ART HISTORY	2.5959730684792097
ASTRONOMY	4.84843092376598
BIOCHEMISTRY	3.21935569668598
CHEMISTRY	3.373750283273675
CLASSICS	4.062622562340497
COMMUNIC	4.003244683646305
COMP LIT	3.790410576586108
COMP SCI	3.72102683574934
EARTH SCI	3.774996170024579
ECONOMICS	4.830357613813158
EDUCATION	2.6980285554412253
ENGINEERING	2.0162542378165234
ENGLISH LIT	2.5912049735522347
EVOLUTION BIO	2.4884752074215766
HISTORY	4.792063823366675
LINGUISTICS	2.305647821325157
MATH	3.743152555541837
MID EAST STUD	2.548682363681699
MOLEC BIO	4.973414335989583
MUS TH & COM	3.2209066368816943
NEUROSCI	2.635743071944341
PHILOSOPHY	2.319015202383747
PHYSICS	2.699484003618091
POLITICAL SCI	3.6955302390413545
PSYCHOLOGY	2.6265397483173136
SOCIOLOLOGY	2.922848609379088
SPANISH LIT	4.912519963870064
STATISTICS	2.627194849104223
