from_matched_field	to_matched_field	n_male	n_female
ANTHROPOLOGY	ANTHROPOLOGY	48	299
ANTHROPOLOGY	ARCHAEOLOGY	46	288
ANTHROPOLOGY	ART HISTORY	15	83
ANTHROPOLOGY	ASTRONOMY	6	112
ANTHROPOLOGY	BIOCHEMISTRY	1	18
ANTHROPOLOGY	CHEMISTRY	339	753
ANTHROPOLOGY	CLASSICS	38	94
ANTHROPOLOGY	COMMUNIC	0	6
ANTHROPOLOGY	COMP LIT	0	9
ANTHROPOLOGY	COMP SCI	53	392
ANTHROPOLOGY	EARTH SCI	65	260
ANTHROPOLOGY	ECONOMICS	14	14
ANTHROPOLOGY	EDUCATION	17	184
ANTHROPOLOGY	ENGINEERING	1	18
ANTHROPOLOGY	ENGLISH LIT	89	90
ANTHROPOLOGY	EVOLUTION BIO	3	10
ANTHROPOLOGY	HISTORY	16	68
ANTHROPOLOGY	LINGUISTICS	10	178
ANTHROPOLOGY	MATH	0	25
ANTHROPOLOGY	MID EAST STUD	104	213
ANTHROPOLOGY	MOLEC BIO	217	382
ANTHROPOLOGY	MUS TH & COM	0	16
ANTHROPOLOGY	NEUROSCI	7	54
ANTHROPOLOGY	PHILOSOPHY	4	28
ANTHROPOLOGY	PHYSICS	11	92
ANTHROPOLOGY	POLITICAL SCI	127	373
ANTHROPOLOGY	PSYCHOLOGY	0	5
ANTHROPOLOGY	SOCIOLOLOGY	7	31
ANTHROPOLOGY	SPANISH LIT	25	50
ANTHROPOLOGY	STATISTICS	9	73
ARCHAEOLOGY	ANTHROPOLOGY	25	132
ARCHAEOLOGY	ARCHAEOLOGY	9	7
ARCHAEOLOGY	ART HISTORY	138	114
ARCHAEOLOGY	ASTRONOMY	2	1
ARCHAEOLOGY	BIOCHEMISTRY	44	10
ARCHAEOLOGY	CHEMISTRY	61	191
ARCHAEOLOGY	CLASSICS	106	27
ARCHAEOLOGY	COMMUNIC	235	55
ARCHAEOLOGY	COMP LIT	69	120
ARCHAEOLOGY	COMP SCI	93	46
ARCHAEOLOGY	EARTH SCI	80	11
ARCHAEOLOGY	ECONOMICS	6	5
ARCHAEOLOGY	EDUCATION	7	2
ARCHAEOLOGY	ENGINEERING	1	0
ARCHAEOLOGY	ENGLISH LIT	65	17
ARCHAEOLOGY	EVOLUTION BIO	21	229
ARCHAEOLOGY	HISTORY	106	16
ARCHAEOLOGY	LINGUISTICS	85	421
ARCHAEOLOGY	MATH	26	13
ARCHAEOLOGY	MID EAST STUD	103	335
ARCHAEOLOGY	MOLEC BIO	151	44
ARCHAEOLOGY	MUS TH & COM	32	103
ARCHAEOLOGY	NEUROSCI	89	41
ARCHAEOLOGY	PHILOSOPHY	148	44
ARCHAEOLOGY	PHYSICS	31	3
ARCHAEOLOGY	POLITICAL SCI	19	0
ARCHAEOLOGY	PSYCHOLOGY	1	0
ARCHAEOLOGY	SOCIOLOLOGY	218	474
ARCHAEOLOGY	SPANISH LIT	18	46
ARCHAEOLOGY	STATISTICS	4	6
ART HISTORY	ANTHROPOLOGY	9	120
ART HISTORY	ARCHAEOLOGY	11	67
ART HISTORY	ART HISTORY	25	25
ART HISTORY	ASTRONOMY	10	133
ART HISTORY	BIOCHEMISTRY	49	158
ART HISTORY	CHEMISTRY	17	74
ART HISTORY	CLASSICS	112	98
ART HISTORY	COMMUNIC	3	25
ART HISTORY	COMP LIT	0	14
ART HISTORY	COMP SCI	2	138
ART HISTORY	EARTH SCI	26	60
ART HISTORY	ECONOMICS	3	38
ART HISTORY	EDUCATION	36	145
ART HISTORY	ENGINEERING	55	59
ART HISTORY	ENGLISH LIT	7	72
ART HISTORY	EVOLUTION BIO	12	77
ART HISTORY	HISTORY	2	12
ART HISTORY	LINGUISTICS	2	202
ART HISTORY	MATH	2	11
ART HISTORY	MID EAST STUD	4	53
ART HISTORY	MOLEC BIO	9	13
ART HISTORY	MUS TH & COM	2	44
ART HISTORY	NEUROSCI	5	13
ART HISTORY	PHILOSOPHY	25	183
ART HISTORY	PHYSICS	1	12
ART HISTORY	POLITICAL SCI	40	46
ART HISTORY	PSYCHOLOGY	1	13
ART HISTORY	SOCIOLOLOGY	57	382
ART HISTORY	SPANISH LIT	2	185
ART HISTORY	STATISTICS	1	44
ASTRONOMY	ANTHROPOLOGY	320	162
ASTRONOMY	ARCHAEOLOGY	74	70
ASTRONOMY	ART HISTORY	55	175
ASTRONOMY	ASTRONOMY	27	34
ASTRONOMY	BIOCHEMISTRY	8	20
ASTRONOMY	CHEMISTRY	5	7
ASTRONOMY	CLASSICS	111	197
ASTRONOMY	COMMUNIC	91	278
ASTRONOMY	COMP LIT	38	2
ASTRONOMY	COMP SCI	34	83
ASTRONOMY	EARTH SCI	34	68
ASTRONOMY	ECONOMICS	3	20
ASTRONOMY	EDUCATION	9	13
ASTRONOMY	ENGINEERING	105	65
ASTRONOMY	ENGLISH LIT	23	42
ASTRONOMY	EVOLUTION BIO	70	44
ASTRONOMY	HISTORY	7	67
ASTRONOMY	LINGUISTICS	235	362
ASTRONOMY	MATH	42	155
ASTRONOMY	MID EAST STUD	3	11
ASTRONOMY	MOLEC BIO	32	20
ASTRONOMY	MUS TH & COM	4	81
ASTRONOMY	NEUROSCI	110	65
ASTRONOMY	PHILOSOPHY	10	143
ASTRONOMY	PHYSICS	11	30
ASTRONOMY	POLITICAL SCI	43	22
ASTRONOMY	PSYCHOLOGY	37	13
ASTRONOMY	SOCIOLOLOGY	1	2
ASTRONOMY	SPANISH LIT	1	8
ASTRONOMY	STATISTICS	204	91
BIOCHEMISTRY	ANTHROPOLOGY	5	37
BIOCHEMISTRY	ARCHAEOLOGY	14	7
BIOCHEMISTRY	ART HISTORY	373	219
BIOCHEMISTRY	ASTRONOMY	20	22
BIOCHEMISTRY	BIOCHEMISTRY	75	263
BIOCHEMISTRY	CHEMISTRY	49	97
BIOCHEMISTRY	CLASSICS	90	181
BIOCHEMISTRY	COMMUNIC	23	52
BIOCHEMISTRY	COMP LIT	36	16
BIOCHEMISTRY	COMP SCI	4	3
BIOCHEMISTRY	EARTH SCI	5	65
BIOCHEMISTRY	ECONOMICS	54	136
BIOCHEMISTRY	EDUCATION	295	101
BIOCHEMISTRY	ENGINEERING	293	208
BIOCHEMISTRY	ENGLISH LIT	3	10
BIOCHEMISTRY	EVOLUTION BIO	1	6
BIOCHEMISTRY	HISTORY	16	34
BIOCHEMISTRY	LINGUISTICS	104	71
BIOCHEMISTRY	MATH	108	379
BIOCHEMISTRY	MID EAST STUD	4	35
BIOCHEMISTRY	MOLEC BIO	7	2
BIOCHEMISTRY	MUS TH & COM	267	257
BIOCHEMISTRY	NEUROSCI	12	22
BIOCHEMISTRY	PHILOSOPHY	109	149
BIOCHEMISTRY	PHYSICS	19	38
BIOCHEMISTRY	POLITICAL SCI	58	107
BIOCHEMISTRY	PSYCHOLOGY	17	72
BIOCHEMISTRY	SOCIOLOLOGY	6	5
BIOCHEMISTRY	SPANISH LIT	51	268
BIOCHEMISTRY	STATISTICS	18	101
CHEMISTRY	ANTHROPOLOGY	30	21
CHEMISTRY	ARCHAEOLOGY	2	4
CHEMISTRY	ART HISTORY	13	8
CHEMISTRY	ASTRONOMY	212	63
CHEMISTRY	BIOCHEMISTRY	150	67
CHEMISTRY	CHEMISTRY	140	46
CHEMISTRY	CLASSICS	230	168
CHEMISTRY	COMMUNIC	58	35
CHEMISTRY	COMP LIT	53	114
CHEMISTRY	COMP SCI	271	18
CHEMISTRY	EARTH SCI	194	149
CHEMISTRY	ECONOMICS	135	16
CHEMISTRY	EDUCATION	328	56
CHEMISTRY	ENGINEERING	29	51
CHEMISTRY	ENGLISH LIT	21	0
CHEMISTRY	EVOLUTION BIO	138	10
CHEMISTRY	HISTORY	5	1
CHEMISTRY	LINGUISTICS	417	24
CHEMISTRY	MATH	30	2
CHEMISTRY	MID EAST STUD	123	46
CHEMISTRY	MOLEC BIO	1	0
CHEMISTRY	MUS TH & COM	194	26
CHEMISTRY	NEUROSCI	22	18
CHEMISTRY	PHILOSOPHY	121	64
CHEMISTRY	PHYSICS	39	17
CHEMISTRY	POLITICAL SCI	3	4
CHEMISTRY	PSYCHOLOGY	191	40
CHEMISTRY	SOCIOLOLOGY	45	10
CHEMISTRY	SPANISH LIT	7	1
CHEMISTRY	STATISTICS	14	10
CLASSICS	ANTHROPOLOGY	62	141
CLASSICS	ARCHAEOLOGY	0	4
CLASSICS	ART HISTORY	7	7
CLASSICS	ASTRONOMY	0	15
CLASSICS	BIOCHEMISTRY	75	503
CLASSICS	CHEMISTRY	0	0
CLASSICS	CLASSICS	5	6
CLASSICS	COMMUNIC	9	193
CLASSICS	COMP LIT	4	95
CLASSICS	COMP SCI	6	67
CLASSICS	EARTH SCI	18	362
CLASSICS	ECONOMICS	0	74
CLASSICS	EDUCATION	15	188
CLASSICS	ENGINEERING	2	7
CLASSICS	ENGLISH LIT	11	96
CLASSICS	EVOLUTION BIO	1	24
CLASSICS	HISTORY	0	4
CLASSICS	LINGUISTICS	3	45
CLASSICS	MATH	7	97
CLASSICS	MID EAST STUD	87	166
CLASSICS	MOLEC BIO	10	57
CLASSICS	MUS TH & COM	1	2
CLASSICS	NEUROSCI	43	129
CLASSICS	PHILOSOPHY	0	8
CLASSICS	PHYSICS	1	8
CLASSICS	POLITICAL SCI	50	185
CLASSICS	PSYCHOLOGY	3	49
CLASSICS	SOCIOLOLOGY	9	219
CLASSICS	SPANISH LIT	17	57
CLASSICS	STATISTICS	205	298
COMMUNIC	ANTHROPOLOGY	618	45
COMMUNIC	ARCHAEOLOGY	7	0
COMMUNIC	ART HISTORY	172	12
COMMUNIC	ASTRONOMY	54	18
COMMUNIC	BIOCHEMISTRY	6	0
COMMUNIC	CHEMISTRY	288	129
COMMUNIC	CLASSICS	83	14
COMMUNIC	COMMUNIC	6	2
COMMUNIC	COMP LIT	24	9
COMMUNIC	COMP SCI	1	1
COMMUNIC	EARTH SCI	40	7
COMMUNIC	ECONOMICS	249	34
COMMUNIC	EDUCATION	33	6
COMMUNIC	ENGINEERING	112	5
COMMUNIC	ENGLISH LIT	130	39
COMMUNIC	EVOLUTION BIO	7	0
COMMUNIC	HISTORY	50	3
COMMUNIC	LINGUISTICS	151	21
COMMUNIC	MATH	56	15
COMMUNIC	MID EAST STUD	4	0
COMMUNIC	MOLEC BIO	79	6
COMMUNIC	MUS TH & COM	123	17
COMMUNIC	NEUROSCI	48	3
COMMUNIC	PHILOSOPHY	43	7
COMMUNIC	PHYSICS	36	70
COMMUNIC	POLITICAL SCI	127	1
COMMUNIC	PSYCHOLOGY	62	10
COMMUNIC	SOCIOLOLOGY	224	11
COMMUNIC	SPANISH LIT	94	2
COMMUNIC	STATISTICS	60	0
COMP LIT	ANTHROPOLOGY	75	51
COMP LIT	ARCHAEOLOGY	30	17
COMP LIT	ART HISTORY	290	91
COMP LIT	ASTRONOMY	138	226
