field	covariate
ANTHROPOLOGY	2.3568881291871424
ARCHAEOLOGY	4.939482627593536
ART HISTORY	4.761307907723463
ASTRONOMY	4.247704402990851
BIOCHEMISTRY	2.638182883347919
CHEMISTRY	2.2738971851780847
CLASSICS	3.6695707645751865
COMMUNIC	4.080147564972931
COMP LIT	3.175898347820096
COMP SCI	3.968385320389377
EARTH SCI	3.112229705123025
ECONOMICS	2.750270758478802
EDUCATION	4.944244150730723
ENGINEERING	3.8452574765509926
ENGLISH LIT	2.5386700700578593
EVOLUTION BIO	3.9759295915298356
HISTORY	3.627348203338287
LINGUISTICS	3.6537326593396857
MATH	4.347826316765486
MID EAST STUD	2.20565830019797
MOLEC BIO	3.2623845931753044
MUS TH & COM	3.8549726282875763
NEUROSCI	3.768403256576323
PHILOSOPHY	2.6494904407193363
PHYSICS	3.6590263558296483
POLITICAL SCI	3.2339253383228836
PSYCHOLOGY	3.3714796043456947
SOCIOLOLOGY	2.07910320961611
SPANISH LIT	4.320861644402502
STATISTICS	2.679763955552784
