from_matched_field	to_matched_field	n_male	n_female
ANTHROPOLOGY	ANTHROPOLOGY	42	597
ANTHROPOLOGY	ARCHAEOLOGY	48	191
ANTHROPOLOGY	ART HISTORY	76	760
ANTHROPOLOGY	ASTRONOMY	16	4
ANTHROPOLOGY	BIOCHEMISTRY	18	9
ANTHROPOLOGY	CHEMISTRY	18	316
ANTHROPOLOGY	CLASSICS	9	51
ANTHROPOLOGY	COMMUNIC	13	121
ANTHROPOLOGY	COMP LIT	91	402
ANTHROPOLOGY	COMP SCI	43	106
ANTHROPOLOGY	EARTH SCI	43	306
ANTHROPOLOGY	ECONOMICS	45	137
ANTHROPOLOGY	EDUCATION	37	127
ANTHROPOLOGY	ENGINEERING	0	15
ANTHROPOLOGY	ENGLISH LIT	258	492
ANTHROPOLOGY	EVOLUTION BIO	93	45
ANTHROPOLOGY	HISTORY	3	7
ANTHROPOLOGY	LINGUISTICS	65	132
ANTHROPOLOGY	MATH	34	97
ANTHROPOLOGY	MID EAST STUD	128	148
ANTHROPOLOGY	MOLEC BIO	66	208
ANTHROPOLOGY	MUS TH & COM	23	114
ANTHROPOLOGY	NEUROSCI	1	4
ANTHROPOLOGY	PHILOSOPHY	32	406
ANTHROPOLOGY	PHYSICS	13	4
ANTHROPOLOGY	POLITICAL SCI	120	219
ANTHROPOLOGY	PSYCHOLOGY	114	103
ANTHROPOLOGY	SOCIOLOLOGY	72	259
ANTHROPOLOGY	SPANISH LIT	103	287
ANTHROPOLOGY	STATISTICS	145	260
ARCHAEOLOGY	ANTHROPOLOGY	55	56
ARCHAEOLOGY	ARCHAEOLOGY	26	21
ARCHAEOLOGY	ART HISTORY	21	88
ARCHAEOLOGY	ASTRONOMY	6	14
ARCHAEOLOGY	BIOCHEMISTRY	59	120
ARCHAEOLOGY	CHEMISTRY	223	98
ARCHAEOLOGY	CLASSICS	18	26
ARCHAEOLOGY	COMMUNIC	133	80
ARCHAEOLOGY	COMP LIT	25	125
ARCHAEOLOGY	COMP SCI	297	131
ARCHAEOLOGY	EARTH SCI	22	10
ARCHAEOLOGY	ECONOMICS	31	81
ARCHAEOLOGY	EDUCATION	52	10
