field	covariate
ANTHROPOLOGY	2.2980630549996484
ARCHAEOLOGY	2.5624205513953004
ART HISTORY	2.692288256578239
ASTRONOMY	3.3110851759493976
BIOCHEMISTRY	4.095780513317301
CHEMISTRY	3.1757823498067896
CLASSICS	2.6425307173461103
COMMUNIC	3.0720820717703585
COMP LIT	3.2475376895338517
COMP SCI	3.585775646301992
EARTH SCI	2.392047211914074
ECONOMICS	4.119109658713736
EDUCATION	2.103912196630996
ENGINEERING	2.097746953484463
ENGLISH LIT	2.9976575480117247
EVOLUTION BIO	4.885497676233177
HISTORY	2.7593025990491573
LINGUISTICS	4.288785863096299
MATH	2.145017317395023
MID EAST STUD	2.4711984894316785
MOLEC BIO	2.1848361079717447
MUS TH & COM	4.147449784705386
NEUROSCI	2.5633600113431068
PHILOSOPHY	3.206517486565602
PHYSICS	3.6428012833557513
POLITICAL SCI	4.641695598566023
PSYCHOLOGY	2.306536200590707
SOCIOLOLOGY	2.8491548741128234
SPANISH LIT	2.3861692043331955
STATISTICS	3.804813762056108
